date,Tokino Sora,Usada Pekora,Shiranui Flare,Houshyou Marine,Shirarogane Noel,Kiryu Coco
2021-01-12,612000,1150000,456000,969000,779000,907000
2021-01-13,614000,1160000,458000,976000,781000,910000
2021-01-14,616000,1160000,459000,980000,784000,914000
2021-01-15,617000,1170000,461000,984000,785000,918000
2021-01-16,619000,1170000,462000,989000,787000,925000
2021-01-17,621000,1170000,464000,994000,789000,933000
2021-01-18,622000,1180000,465000,1000000,790000,936000
2021-01-19,623000,1180000,467000,1010000,793000,941000
2021-01-20,625000,1180000,468000,1020000,795000,943000
2021-01-21,626000,1190000,470000,1020000,801000,946000
2021-01-22,627000,1190000,471000,1020000,803000,948000
2021-01-23,629000,1190000,473000,1030000,804000,950000
2021-01-24,630000,1190000,475000,1030000,806000,953000
2021-01-25,631000,1200000,477000,1030000,809000,955000
2021-01-26,632000,1200000,479000,1040000,812000,957000
2021-01-27,633000,1200000,480000,1040000,814000,959000
2021-01-28,635000,1210000,481000,1040000,818000,960000
2021-01-29,636000,1210000,483000,1040000,819000,961000
2021-01-30,637000,1220000,484000,1050000,823000,963000
2021-01-31,639000,1220000,485000,1050000,826000,966000
2021-02-01,640000,1220000,487000,1050000,828000,967000
2021-02-02,641000,1220000,488000,1050000,831000,969000
2021-02-03,642000,1230000,489000,1060000,832000,971000
2021-02-04,642000,1230000,490000,1060000,834000,971000
2021-02-05,644000,1230000,491000,1060000,835000,973000
2021-02-06,645000,1230000,492000,1070000,837000,974000
2021-02-07,646000,1230000,501000,1070000,840000,977000
2021-02-08,647000,1240000,503000,1070000,842000,978000
2021-02-09,648000,1240000,505000,1070000,844000,979000
2021-02-10,650000,1240000,506000,1080000,846000,980000
2021-02-11,651000,1240000,507000,1080000,850000,981000
2021-02-12,652000,1250000,508000,1080000,852000,985000
2021-02-13,653000,1250000,509000,1090000,854000,989000
2021-02-14,654000,1250000,511000,1090000,857000,992000
2021-02-15,656000,1250000,512000,1100000,859000,995000
2021-02-16,657000,1260000,513000,1100000,862000,998000
2021-02-17,658000,1260000,514000,1100000,864000,1000000
2021-02-18,661000,1260000,515000,1100000,867000,1000000
2021-02-19,663000,1260000,515000,1110000,868000,1000000
2021-02-20,665000,1270000,517000,1110000,871000,1000000
2021-02-21,667000,1270000,518000,1110000,873000,1000000
2021-02-22,668000,1270000,519000,1110000,875000,1010000
2021-02-23,670000,1270000,521000,1120000,877000,1010000
2021-02-24,671000,1270000,522000,1120000,878000,1010000
2021-02-25,672000,1280000,523000,1130000,880000,1010000
2021-02-26,673000,1280000,524000,1130000,881000,1010000
2021-02-27,674000,1280000,525000,1130000,883000,1010000
2021-02-28,675000,1280000,526000,1130000,885000,1010000
2021-03-01,677000,1290000,528000,1130000,887000,1010000
2021-03-02,678000,1290000,529000,1140000,889000,1020000
2021-03-03,682000,1290000,530000,1140000,891000,1020000
2021-03-04,685000,1290000,531000,1140000,892000,1020000
2021-03-05,686000,1290000,532000,1140000,895000,1020000
2021-03-06,688000,1300000,534000,1150000,901000,1020000
2021-03-07,689000,1300000,535000,1150000,903000,1020000
2021-03-08,690000,1300000,536000,1150000,905000,1020000
2021-03-09,691000,1300000,537000,1150000,909000,1020000
2021-03-10,692000,1300000,538000,1150000,913000,1020000
2021-03-11,692000,1300000,540000,1160000,916000,1020000
2021-03-12,693000,1310000,542000,1160000,920000,1020000
2021-03-13,694000,1310000,544000,1160000,922000,1020000
2021-03-14,695000,1310000,545000,1160000,925000,1030000
2021-03-15,696000,1310000,551000,1170000,928000,1030000
2021-03-16,697000,1310000,552000,1170000,930000,1030000
2021-03-17,698000,1320000,553000,1170000,932000,1030000
2021-03-18,700000,1320000,554000,1180000,934000,1030000
2021-03-19,701000,1320000,555000,1180000,937000,1030000
2021-03-20,701000,1320000,556000,1180000,938000,1030000
2021-03-21,702000,1330000,557000,1180000,940000,1030000
2021-03-22,703000,1330000,557000,1190000,944000,1030000
2021-03-23,704000,1330000,558000,1190000,946000,1040000
2021-03-24,705000,1330000,560000,1190000,948000,1040000
2021-03-25,705000,1340000,560000,1200000,952000,1040000
2021-03-26,706000,1340000,561000,1200000,954000,1040000
2021-03-27,707000,1340000,562000,1200000,956000,1040000
2021-03-28,708000,1340000,563000,1200000,959000,1040000
2021-03-29,709000,1350000,564000,1200000,962000,1040000
2021-03-30,710000,1350000,565000,1210000,964000,1040000
2021-03-31,710000,1350000,565000,1210000,967000,1040000
2021-04-01,711000,1350000,566000,1210000,969000,1040000
2021-04-02,712000,1360000,569000,1210000,971000,1050000
2021-04-03,713000,1360000,570000,1210000,975000,1050000
2021-04-04,714000,1360000,571000,1210000,977000,1050000
2021-04-05,715000,1360000,572000,1220000,980000,1050000
2021-04-06,716000,1370000,574000,1220000,983000,1050000
2021-04-07,717000,1370000,575000,1220000,986000,1050000
2021-04-08,717000,1370000,576000,1220000,987000,1050000
2021-04-09,717000,1370000,576000,1220000,989000,1050000
2021-04-10,718000,1370000,577000,1220000,990000,1060000
2021-04-11,718000,1370000,577000,1220000,993000,1060000
2021-04-12,719000,1370000,578000,1220000,1000000,1060000
2021-04-13,720000,1380000,580000,1230000,1000000,1060000
2021-04-14,721000,1380000,581000,1230000,1000000,1060000
2021-04-15,722000,1380000,583000,1230000,1010000,1060000
2021-04-16,723000,1380000,584000,1230000,1010000,1060000
2021-04-17,724000,1390000,585000,1230000,1010000,1060000
2021-04-18,725000,1390000,587000,1240000,1010000,1060000
2021-04-19,725000,1390000,587000,1240000,1020000,1070000
2021-04-20,726000,1390000,588000,1240000,1020000,1070000
2021-04-21,727000,1390000,589000,1240000,1020000,1070000
2021-04-22,728000,1400000,590000,1240000,1020000,1070000
2021-04-23,728000,1400000,591000,1250000,1020000,1070000
2021-04-24,729000,1400000,592000,1250000,1020000,1070000
2021-04-25,730000,1400000,600000,1250000,1030000,1080000
2021-04-26,731000,1410000,600000,1250000,1030000,1080000
2021-04-27,731000,1410000,601000,1250000,1030000,1080000
2021-04-28,732000,1410000,604000,1260000,1040000,1080000
2021-04-29,734000,1420000,605000,1260000,1040000,1090000
2021-04-30,735000,1420000,606000,1260000,1040000,1100000
2021-05-01,736000,1420000,606000,1270000,1050000,1100000
2021-05-02,736000,1420000,608000,1270000,1050000,1100000
2021-05-03,737000,1430000,609000,1270000,1050000,1100000
2021-05-04,738000,1430000,610000,1270000,1050000,1100000
2021-05-05,739000,1430000,612000,1280000,1050000,1110000
2021-05-06,740000,1430000,613000,1280000,1060000,1110000
2021-05-07,740000,1440000,614000,1280000,1060000,1110000
2021-05-08,741000,1440000,615000,1280000,1060000,1110000
2021-05-09,742000,1440000,616000,1280000,1060000,1110000
2021-05-10,743000,1440000,617000,1290000,1060000,1110000
2021-05-11,745000,1450000,618000,1290000,1070000,1110000
2021-05-12,746000,1450000,619000,1290000,1070000,1120000
2021-05-13,746000,1450000,620000,1290000,1070000,1120000
2021-05-14,747000,1450000,621000,1290000,1070000,1120000
2021-05-15,750000,1450000,621000,1290000,1070000,1120000
2021-05-16,751000,1460000,623000,1300000,1070000,1120000
2021-05-17,752000,1460000,623000,1300000,1070000,1120000
2021-05-18,753000,1460000,624000,1300000,1080000,1120000
2021-05-19,753000,1460000,625000,1300000,1080000,1130000
2021-05-20,754000,1460000,626000,1300000,1080000,1130000
2021-05-21,755000,1470000,627000,1310000,1080000,1130000
2021-05-22,756000,1470000,628000,1310000,1080000,1130000
2021-05-23,757000,1470000,629000,1310000,1090000,1140000
2021-05-24,758000,1470000,630000,1310000,1090000,1140000
2021-05-25,759000,1480000,631000,1310000,1090000,1140000
2021-05-26,760000,1480000,633000,1320000,1090000,1140000
2021-05-27,762000,1480000,634000,1320000,1100000,1140000
2021-05-28,763000,1480000,635000,1320000,1100000,1150000
2021-05-29,764000,1490000,637000,1330000,1100000,1150000
2021-05-30,765000,1490000,639000,1330000,1100000,1150000
2021-05-31,766000,1490000,641000,1330000,1100000,1150000
2021-06-01,767000,1490000,642000,1330000,1110000,1150000
2021-06-02,767000,1500000,643000,1330000,1110000,1150000
2021-06-03,768000,1500000,646000,1340000,1110000,1160000
2021-06-04,769000,1500000,650000,1340000,1110000,1160000
2021-06-05,770000,1500000,652000,1340000,1110000,1160000
2021-06-06,771000,1510000,653000,1340000,1110000,1160000
2021-06-07,771000,1510000,655000,1350000,1120000,1160000
2021-06-08,772000,1510000,656000,1350000,1120000,1170000
2021-06-09,772000,1510000,656000,1350000,1120000,1210000
2021-06-10,773000,1510000,657000,1350000,1120000,1230000
2021-06-11,773000,1520000,658000,1350000,1120000,1240000
2021-06-12,774000,1520000,659000,1360000,1120000,1250000
2021-06-13,774000,1520000,660000,1360000,1120000,1250000
2021-06-14,775000,1520000,661000,1360000,1130000,1260000
